5.04786e-03,337.7671
7.50607e-03,355.1316
8.59685e-03,360.9935
1.01508e-02,368.1858
1.38405e-02,382.2312
1.80999e-02,395.4073
2.28407e-02,407.8264
2.81638e-02,419.9106
3.43730e-02,432.4160
4.16883e-02,445.7715
5.05391e-02,460.4174
6.81460e-02,486.5298
7.73456e-02,499.1283
8.46543e-02,508.7425
9.79955e-02,525.5367
1.25190e-01,557.3222
1.53380e-01,587.4808
1.71304e-01,605.3861
2.01147e-01,633.4968
2.21274e-01,651.2033
2.55232e-01,679.1713
2.74461e-01,693.6318
2.97496e-01,709.7990
3.22202e-01,726.1970
3.48243e-01,741.6738
3.74269e-01,755.9833
4.00239e-01,769.3373
4.26451e-01,781.4511
4.52448e-01,792.5846
4.77925e-01,803.3218
5.03664e-01,813.1918
5.29004e-01,822.7139
5.54069e-01,832.1417
5.79181e-01,841.5197
6.04328e-01,850.7461
6.29309e-01,859.7335
6.53878e-01,869.1237
6.79018e-01,878.3947
7.03969e-01,887.6435
7.28795e-01,897.0447
7.53756e-01,906.3586
7.79125e-01,915.3395
8.03829e-01,924.5642
8.29163e-01,933.5119
8.54448e-01,942.1897
8.79117e-01,951.1159
9.03071e-01,960.9634
9.17704e-01,966.8654
9.28760e-01,971.9083
9.36213e-01,974.9060
9.41282e-01,977.8974
9.49925e-01,981.9208
9.59473e-01,986.3209
9.69125e-01,991.0779
9.78463e-01,996.3860
9.85775e-01,999.8586
