0,9912	737,4
0,9824	735
0,9719	733,87
0,9701	730,72
0,9635	727,49
0,9567	726,26
0,9463	718,73
0,9434	717,39
0,935	709,9
0,9263	701,75
0,9238	693,9
0,9144	683,4
0,9049	670,68
0,8957	664,28
0,8808	649
0,8681	641,92
0,8591	639,5
0,8506	637,8
0,8381	634,87
0,8215	632,7
0,809	630,1
0,7859	627,17
0,7764	626,62
0,7658	624,8
0,7489	623,62
0,7364	622,4
0,7181	620,8
0,6996	619,11
0,6764	618,05
0,6568	615,09
0,624	612,58
0,5919	609,17
0,5594	606,32
0,5161	602,83
0,4638	590,25
0,3998	557,01
0,3434	456,75
0,3385	434,27
0,2793	341,07
0,2595	331,57
0,2	302,68
0,1575	282,15
0,12	261
0,08	238
0,055	216
