                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/13/23       Operator: Ayupov              Date:2023/04/17
Sample ID:     AY23-118 CKO N24    Filename:      AY23-118 CKO N24 2899 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0459 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1469.3 min          Instrument:    Autosorb Station 4  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative           dV(log d)           dS(log d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g                cc/g                m²/g

         0.6140              4.3813e-02          1.6135e+02          5.2584e-01          1.5791e+03
         0.6660              6.2410e-02          2.1688e+02          6.1296e-01          1.7287e+03
         0.7230              8.5695e-02          2.8041e+02          7.5156e-01          1.9330e+03
         0.7850              1.1397e-01          3.5167e+02          8.8688e-01          2.1141e+03
         0.8520              1.4750e-01          4.2971e+02          1.0432e+00          2.2968e+03
         0.9260              1.8738e-01          5.1545e+02          1.2060e+00          2.4509e+03
         1.0070              2.3359e-01          6.0708e+02          1.3704e+00          2.5681e+03
         1.0960              2.8631e-01          7.0342e+02          1.5306e+00          2.6435e+03
         1.1930              3.4499e-01          8.0224e+02          1.6847e+00          2.6802e+03
         1.2990              4.0957e-01          9.0235e+02          1.8288e+00          2.6784e+03
         1.4160              4.8029e-01          1.0032e+03          1.9555e+00          2.6358e+03
         1.5430              5.5524e-01          1.1016e+03          2.0580e+00          2.5526e+03
         1.6820              6.3404e-01          1.1967e+03          2.1293e+00          2.4313e+03
         1.8340              7.1541e-01          1.2872e+03          2.1614e+00          2.2725e+03
         2.0000              7.9759e-01          1.3712e+03          2.1467e+00          2.0785e+03
         2.1830              8.7948e-01          1.4483e+03          2.0793e+00          1.8549e+03
         2.3820              9.5784e-01          1.5163e+03          1.9566e+00          1.6090e+03
         2.6000              1.0311e+00          1.5748e+03          1.7889e+00          1.3565e+03
         2.8380              1.0976e+00          1.6237e+03          1.5936e+00          1.1129e+03
         3.0990              1.1565e+00          1.6636e+03          1.3920e+00          8.9268e+02
         3.3850              1.2078e+00          1.6954e+03          1.2071e+00          7.0804e+02
         3.6980              1.2522e+00          1.7206e+03          1.0540e+00          5.6384e+02
         4.0390              1.2910e+00          1.7407e+03          9.3550e-01          4.5624e+02
         4.4130              1.3259e+00          1.7571e+03          8.4194e-01          3.7511e+02
         4.8230              1.3575e+00          1.7707e+03          7.5652e-01          3.0914e+02
         5.2700              1.3857e+00          1.7819e+03          6.6913e-01          2.5158e+02
         5.7600              1.4107e+00          1.7910e+03          5.8648e-01          2.0247e+02
         6.2960              1.4327e+00          1.7983e+03          5.1472e-01          1.6225e+02
         6.8830              1.4519e+00          1.8042e+03          4.4998e-01          1.2911e+02
         7.5240              1.4685e+00          1.8088e+03          3.9422e-01          1.0317e+02
         8.2270              1.4832e+00          1.8125e+03          3.5499e-01          8.5056e+01
         8.9950              1.4967e+00          1.8157e+03          3.2906e-01          7.1963e+01
         9.8350              1.5093e+00          1.8183e+03          3.0389e-01          6.0404e+01
        10.7550              1.5208e+00          1.8205e+03          2.7814e-01          5.0405e+01
        11.7610              1.5313e+00          1.8224e+03          2.6156e-01          4.3424e+01
        12.8610              1.5415e+00          1.8240e+03          2.5207e-01          3.8355e+01
        14.0660              1.5513e+00          1.8255e+03          2.4570e-01          3.3876e+01
        15.3830              1.5608e+00          1.8267e+03          2.4281e-01          3.0248e+01
        16.8250              1.5702e+00          1.8278e+03          2.3125e-01          2.6636e+01
        18.4020              1.5790e+00          1.8288e+03          2.0514e-01          2.2217e+01
        20.1280              1.5868e+00          1.8297e+03          1.7444e-01          1.7714e+01
        22.0160              1.5935e+00          1.8303e+03          1.3670e-01          1.2870e+01
        24.0820              1.5982e+00          1.8308e+03          9.6351e-02          8.1565e+00
        26.3430              1.6014e+00          1.8310e+03          7.7447e-02          5.7140e+00
        28.8160              1.6044e+00          1.8312e+03          7.8955e-02          5.2630e+00
        31.5220              1.6073e+00          1.8314e+03          8.2602e-02          5.0354e+00
        34.4820              1.6111e+00          1.8316e+03          9.7924e-02          5.6809e+00

                                             DFT method summary
                                     Pore volume =         1.600 cc/g
                                    Surface area =      1816.517 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.453 %
                         Pore width (Mode(dLog)) =         1.834 nm
 
                            Moving point average :         5
 
 
