                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/13/23       Operator: Ayupov              Date:2023/04/17
Sample ID:     AY23-118 CKO N24    Filename:      AY23-118 CKO N24 2899 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0459 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1469.3 min          Instrument:    Autosorb Station 4  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative             dV(d)               dS(d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g               cc/nm/g             m²/nm/g

         0.6140              4.3813e-02          1.6135e+02          3.0833e-01          1.0043e+03
         0.6660              6.2410e-02          2.1688e+02          3.5764e-01          1.0680e+03
         0.7230              8.5695e-02          2.8041e+02          4.0852e-01          1.1144e+03
         0.7850              1.1397e-01          3.5167e+02          4.5605e-01          1.1494e+03
         0.8520              1.4750e-01          4.2971e+02          5.0040e-01          1.1649e+03
         0.9260              1.8738e-01          5.1545e+02          5.3899e-01          1.1586e+03
         1.0070              2.3359e-01          6.0708e+02          5.7044e-01          1.1313e+03
         1.0960              2.8631e-01          7.0342e+02          5.9233e-01          1.0825e+03
         1.1930              3.4499e-01          8.0224e+02          6.0499e-01          1.0188e+03
         1.2990              4.0957e-01          9.0235e+02          6.0924e-01          9.4441e+02
         1.4160              4.8029e-01          1.0032e+03          6.0445e-01          8.6236e+02
         1.5430              5.5524e-01          1.1016e+03          5.9013e-01          7.7451e+02
         1.6820              6.3404e-01          1.1967e+03          5.6692e-01          6.8438e+02
         1.8340              7.1541e-01          1.2872e+03          5.3533e-01          5.9497e+02
         2.0000              7.9759e-01          1.3712e+03          4.9506e-01          5.0637e+02
         2.1830              8.7948e-01          1.4483e+03          4.4750e-01          4.2137e+02
         2.3820              9.5784e-01          1.5163e+03          3.9375e-01          3.4146e+02
         2.6000              1.0311e+00          1.5748e+03          3.3610e-01          2.6851e+02
         2.8380              1.0976e+00          1.6237e+03          2.7922e-01          2.0554e+02
         3.0990              1.1565e+00          1.6636e+03          2.2571e-01          1.5277e+02
         3.3850              1.2078e+00          1.6954e+03          1.7932e-01          1.1123e+02
         3.6980              1.2522e+00          1.7206e+03          1.4198e-01          8.0423e+01
         4.0390              1.2910e+00          1.7407e+03          1.1390e-01          5.8827e+01
         4.4130              1.3259e+00          1.7571e+03          9.3146e-02          4.3899e+01
         4.8230              1.3575e+00          1.7707e+03          7.7084e-02          3.3243e+01
         5.2700              1.3857e+00          1.7819e+03          6.3226e-02          2.5050e+01
         5.7600              1.4107e+00          1.7910e+03          5.0966e-02          1.8580e+01
         6.2960              1.4327e+00          1.7983e+03          4.0936e-02          1.3672e+01
         6.8830              1.4519e+00          1.8042e+03          3.2714e-02          9.9516e+00
         7.5240              1.4685e+00          1.8088e+03          2.5895e-02          7.1656e+00
         8.2270              1.4832e+00          1.8125e+03          2.0942e-02          5.3012e+00
         8.9950              1.4967e+00          1.8157e+03          1.7670e-02          4.1052e+00
         9.8350              1.5093e+00          1.8183e+03          1.5000e-02          3.1694e+00
        10.7550              1.5208e+00          1.8205e+03          1.2423e-02          2.3832e+00
        11.7610              1.5313e+00          1.8224e+03          1.0461e-02          1.8359e+00
        12.8610              1.5415e+00          1.8240e+03          9.2541e-03          1.4922e+00
        14.0660              1.5513e+00          1.8255e+03          8.1599e-03          1.2048e+00
        15.3830              1.5608e+00          1.8267e+03          7.2212e-03          9.5795e-01
        16.8250              1.5702e+00          1.8278e+03          6.5129e-03          7.8526e-01
        18.4020              1.5790e+00          1.8288e+03          5.5811e-03          6.2937e-01
        20.1280              1.5868e+00          1.8297e+03          4.5065e-03          4.7721e-01
        22.0160              1.5935e+00          1.8303e+03          3.5365e-03          3.4988e-01
        24.0820              1.5982e+00          1.8308e+03          2.3074e-03          2.0874e-01
        26.3430              1.6014e+00          1.8310e+03          1.3962e-03          1.1090e-01
        28.8160              1.6044e+00          1.8312e+03          1.1985e-03          8.4472e-02
        31.5220              1.6073e+00          1.8314e+03          1.0883e-03          6.8623e-02
        34.4820              1.6111e+00          1.8316e+03          1.2895e-03          7.4809e-02

                                             DFT method summary
                                     Pore volume =         1.600 cc/g
                                    Surface area =      1816.517 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.453 %
                               Pore width (Mode) =         1.299 nm
 
                            Moving point average :         5
 
 
