                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/10/23       Operator: Ayupov              Date:2023/04/13
Sample ID:     AY23-119 CKO N25    Filename:      AY23-119 CKO N25 2900 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0504 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1829.8 min          Instrument:    Autosorb Station 1  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative             dV(d)               dS(d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g               cc/nm/g             m²/nm/g

         0.6140              7.9652e-02          2.9574e+02          5.1537e-01          1.6787e+03
         0.6660              1.0812e-01          3.8114e+02          5.4747e-01          1.6423e+03
         0.7230              1.4001e-01          4.6955e+02          5.5951e-01          1.5511e+03
         0.7850              1.7490e-01          5.5914e+02          5.6273e-01          1.4449e+03
         0.8520              2.1169e-01          6.4660e+02          5.4900e-01          1.3054e+03
         0.9260              2.5022e-01          7.3137e+02          5.2073e-01          1.1455e+03
         1.0070              2.8957e-01          8.1118e+02          4.8576e-01          9.8535e+02
         1.0960              3.2996e-01          8.8628e+02          4.5390e-01          8.4381e+02
         1.1930              3.7234e-01          9.5808e+02          4.3683e-01          7.4026e+02
         1.2990              4.1844e-01          1.0292e+03          4.3492e-01          6.7110e+02
         1.4160              4.6964e-01          1.1017e+03          4.3762e-01          6.1916e+02
         1.5430              5.2530e-01          1.1743e+03          4.3828e-01          5.7209e+02
         1.6820              5.8461e-01          1.2460e+03          4.2666e-01          5.1587e+02
         1.8340              6.4467e-01          1.3133e+03          3.9516e-01          4.4273e+02
         2.0000              7.0220e-01          1.3729e+03          3.4656e-01          3.5868e+02
         2.1830              7.5592e-01          1.4242e+03          2.9359e-01          2.8037e+02
         2.3820              8.0292e-01          1.4656e+03          2.3615e-01          2.0817e+02
         2.6000              8.4242e-01          1.4978e+03          1.8119e-01          1.4752e+02
         2.8380              8.7452e-01          1.5219e+03          1.3490e-01          1.0139e+02
         3.0990              8.9974e-01          1.5393e+03          9.6615e-02          6.6899e+01
         3.3850              9.1867e-01          1.5513e+03          6.6199e-02          4.1836e+01
         3.6980              9.3304e-01          1.5596e+03          4.5912e-02          2.6411e+01
         4.0390              9.4441e-01          1.5655e+03          3.3337e-02          1.7491e+01
         4.4130              9.5365e-01          1.5700e+03          2.4716e-02          1.1803e+01
         4.8230              9.6159e-01          1.5734e+03          1.9352e-02          8.4202e+00
         5.2700              9.6846e-01          1.5761e+03          1.5373e-02          6.0772e+00
         5.7600              9.7449e-01          1.5783e+03          1.2318e-02          4.4599e+00
         6.2960              9.8004e-01          1.5801e+03          1.0348e-02          3.4174e+00
         6.8830              9.8540e-01          1.5817e+03          9.1277e-03          2.7367e+00
         7.5240              9.9054e-01          1.5831e+03          8.0157e-03          2.1790e+00
         8.2270              9.9549e-01          1.5844e+03          7.0509e-03          1.7429e+00
         8.9950              1.0006e+00          1.5855e+03          6.6442e-03          1.5175e+00
         9.8350              1.0059e+00          1.5866e+03          6.2563e-03          1.3063e+00
        10.7550              1.0109e+00          1.5876e+03          5.5077e-03          1.0502e+00
        11.7610              1.0158e+00          1.5884e+03          4.8365e-03          8.4465e-01
        12.8610              1.0207e+00          1.5892e+03          4.5057e-03          7.1847e-01
        14.0660              1.0254e+00          1.5899e+03          3.8819e-03          5.7557e-01
        15.3830              1.0296e+00          1.5905e+03          3.1630e-03          4.2811e-01
        16.8250              1.0337e+00          1.5910e+03          2.8871e-03          3.5325e-01
        18.4020              1.0377e+00          1.5914e+03          2.5154e-03          2.8339e-01
        20.1280              1.0412e+00          1.5918e+03          2.0134e-03          2.0396e-01
        22.0160              1.0448e+00          1.5921e+03          1.8922e-03          1.7756e-01
        24.0820              1.0480e+00          1.5924e+03          1.5900e-03          1.4043e-01
        26.3430              1.0506e+00          1.5926e+03          1.1251e-03          9.0505e-02
        28.8160              1.0529e+00          1.5928e+03          9.3274e-04          6.8459e-02
        31.5220              1.0545e+00          1.5929e+03          5.8629e-04          3.7005e-02
        34.4820              1.0565e+00          1.5930e+03          6.9488e-04          4.0291e-02

                                             DFT method summary
                                     Pore volume =         1.048 cc/g
                                    Surface area =      1572.750 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.376 %
                               Pore width (Mode) =         0.785 nm
 
                            Moving point average :         5
 
 
