                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:9/8/2022       Operator: Ayupov              Date:2023/03/28
Sample ID:     M9                  Filename:      M9_2552-ASMS_St2_2022_09_08_01.QPS
Sample Desc:   Bauman              Comment:        
Outgas Time:   3.0 hrs             Outgas Temp:   300.0 °C            Sample Weight: 0.2987 g
Analysis gas:  Nitrogen            Molec. Wt:     28.0134 g           Non-ideality:  6.58e-05 1/Torr
Analysis Time: 1398.5 min          Instrument:    Autosorb Station 2  Bath temp.:    77.3 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 3.54 ÅEff. cell stem diam. (d): 4.0000 mm
 
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

                     Relative                                        Volume @ STP
                     Pressure                                               
                                                                         cc/g

                        5.53083e-03                                      23.4897
                        6.82142e-03                                      24.2080
                        8.36489e-03                                      24.9353
                        1.01481e-02                                      25.6042
                        1.67374e-02                                      27.4131
                        2.32566e-02                                      28.6387
                        2.92308e-02                                      29.5439
                        3.51782e-02                                      30.2954
                        4.17955e-02                                      31.0455
                        4.97223e-02                                      31.8317
                        5.94483e-02                                      32.6884
                        7.17748e-02                                      33.6593
                        8.42484e-02                                      34.5329
                        9.10966e-02                                      35.0205
                        1.07951e-01                                      36.0885
                        1.31096e-01                                      37.4259
                        1.55968e-01                                      38.7650
                        1.81211e-01                                      40.0426
                        2.06449e-01                                      41.2759
                        2.31533e-01                                      42.4788
                        2.56603e-01                                      43.6526
                        2.81653e-01                                      44.8128
                        3.06659e-01                                      45.9527
                        3.31618e-01                                      47.0895
                        3.56654e-01                                      48.2054
                        3.81528e-01                                      49.3326
                        4.05886e-01                                      50.5320
                        4.31093e-01                                      51.6939
                        4.55995e-01                                      52.8520
                        4.81027e-01                                      54.0033
                        5.05907e-01                                      55.1659
                        5.30657e-01                                      56.3466
                        5.55331e-01                                      57.5633
                        5.79905e-01                                      58.8243
                        6.04711e-01                                      60.1063
                        6.28457e-01                                      61.5558
                        6.53334e-01                                      63.0219
                        6.77944e-01                                      64.5261
                        7.00480e-01                                      66.3431
                        7.27356e-01                                      67.9058
                        7.50928e-01                                      69.6649
                        7.73966e-01                                      71.6851
                        7.98112e-01                                      73.8140
                        8.28742e-01                                      76.8125
                        8.48271e-01                                      78.9394
                        8.70216e-01                                      81.4465
                        9.01275e-01                                      85.9771
                        9.11897e-01                                      87.6613
                        9.21448e-01                                      89.4137
                        9.27598e-01                                      91.0142
                        9.34137e-01                                      92.5113
                        9.41131e-01                                      94.3142
                        9.48837e-01                                      96.4321
                        9.55348e-01                                      99.0258
                        9.68017e-01                                     106.1228
                        9.73172e-01                                     110.1069
                        9.77813e-01                                     114.4264
                        9.89000e-01                                     134.8300
                        9.93280e-01                                     149.7022
                        9.89804e-01                                     146.0786
                        9.83509e-01                                     134.3186
                        9.79784e-01                                     128.5324
                        9.74044e-01                                     119.1857
                        9.63639e-01                                     109.7935
                        9.53481e-01                                     102.5443
                        9.41208e-01                                      98.0495
                        9.32341e-01                                      94.9271
                        9.28063e-01                                      93.4614
                        9.21126e-01                                      92.2487
                        9.08895e-01                                      89.6234
                        9.03155e-01                                      88.3703
                        8.75971e-01                                      84.4416
                        8.54742e-01                                      81.9279
                        8.22534e-01                                      78.6924
                        7.98928e-01                                      76.8772
                        7.75490e-01                                      74.9939
                        7.50685e-01                                      73.0617
                        7.25754e-01                                      71.2424
                        7.00547e-01                                      69.4626
                        6.75160e-01                                      67.7189
                        6.48868e-01                                      66.1265
                        6.23480e-01                                      64.5145
                        5.97062e-01                                      63.0700
                        5.71679e-01                                      61.5949
                        5.46266e-01                                      60.1482
                        5.21246e-01                                      58.6541
                        4.95514e-01                                      57.2632
                        4.70313e-01                                      55.8802
                        4.47813e-01                                      54.1163
                        4.22052e-01                                      52.4882
                        3.95380e-01                                      51.1337
                        3.69270e-01                                      49.8425
                        3.54004e-01                                      49.1149
                        3.23444e-01                                      47.6415
                        2.95361e-01                                      46.3073
                        2.68759e-01                                      45.0328
                        2.53605e-01                                      44.2783
                        2.22780e-01                                      42.7631
                        1.94803e-01                                      41.3753
                        1.79128e-01                                      40.6024
                        1.48403e-01                                      38.9590
                        1.20840e-01                                      37.3826
                        9.49856e-02                                      35.7561
                        7.00747e-02                                      33.9885
                        4.67657e-02                                      31.9573
                        2.92346e-02                                      29.8672
