                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:3/22/2023      Operator: Ayupov              Date:2023/03/28
Sample ID:     AY23-89 M42         Filename:      AY23-89 M42_2871-ASMS_St4_2023_03_22_01.QPS
Sample Desc:   Maksimowa           Comment:        
Outgas Time:   23.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.018 g
Analysis gas:  Nitrogen            Molec. Wt:     28.0134 g           Non-ideality:  6.58e-05 1/Torr
Analysis Time: 673.9 min           Instrument:    Autosorb Station 4  Bath temp.:    77.3 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 3.54 ÅEff. cell stem diam. (d): 4.0000 mm
 
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

                     Relative                                        Volume @ STP
                     Pressure                                               
                                                                         cc/g

                        5.97974e-03                                      25.4751
                        6.62874e-03                                      25.8026
                        8.80702e-03                                      27.0511
                        1.00619e-02                                      27.6197
                        2.59305e-02                                      31.1687
                        3.02018e-02                                      31.9082
                        3.43013e-02                                      32.4914
                        3.93885e-02                                      33.2066
                        4.59424e-02                                      34.0731
                        5.41261e-02                                      35.0052
                        6.42934e-02                                      35.9490
                        7.72877e-02                                      37.2372
                        8.93217e-02                                      38.2615
                        9.39535e-02                                      38.6977
                        1.14004e-01                                      40.4534
                        1.38914e-01                                      42.4199
                        1.63846e-01                                      44.4051
                        1.88922e-01                                      46.1552
                        2.13889e-01                                      47.8876
                        2.38799e-01                                      49.6101
                        2.63699e-01                                      51.6406
                        2.88823e-01                                      53.2109
                        3.13777e-01                                      54.8122
                        3.38514e-01                                      56.9002
                        3.63637e-01                                      58.6316
                        3.88681e-01                                      60.1639
                        4.13646e-01                                      61.6877
                        4.38566e-01                                      63.3947
                        4.63549e-01                                      64.8283
                        4.88352e-01                                      67.0389
                        5.13457e-01                                      68.7022
                        5.38454e-01                                      70.2432
                        5.63369e-01                                      71.9442
                        5.88335e-01                                      73.4319
                        6.12924e-01                                      75.8948
                        6.38137e-01                                      77.7896
                        6.63163e-01                                      79.5729
                        6.88156e-01                                      81.1339
                        7.12710e-01                                      83.7889
                        7.37957e-01                                      86.0925
                        7.62933e-01                                      88.0982
                        7.87859e-01                                      90.1148
                        8.12885e-01                                      92.1531
                        8.37356e-01                                      95.3946
                        8.62356e-01                                      98.7150
                        8.87264e-01                                     101.9590
                        9.11883e-01                                     105.8712
                        9.23204e-01                                     107.9606
                        9.32844e-01                                     111.1783
                        9.38626e-01                                     113.1045
                        9.43743e-01                                     114.7067
                        9.52961e-01                                     117.5607
                        9.62432e-01                                     121.8974
                        9.71109e-01                                     129.4687
                        9.80206e-01                                     139.2591
                        9.85658e-01                                     148.4591
                        9.89147e-01                                     161.4999
                        9.94377e-01                                     188.2379
                        9.98873e-01                                     220.1032
                        9.87643e-01                                     178.9294
                        9.81350e-01                                     159.4329
                        9.74028e-01                                     143.8003
                        9.64675e-01                                     135.1526
                        9.54714e-01                                     127.5230
                        9.43793e-01                                     122.1943
                        9.32420e-01                                     118.3749
                        9.21380e-01                                     115.3119
                        9.11688e-01                                     114.5295
                        9.05983e-01                                     113.6114
                        8.96727e-01                                     111.9423
                        8.87116e-01                                     110.4334
                        8.72315e-01                                     108.2043
                        8.53947e-01                                     105.9216
                        8.19044e-01                                     103.3558
                        8.01600e-01                                     101.9236
                        7.68157e-01                                      98.8635
                        7.50778e-01                                      97.3727
                        7.17661e-01                                      94.6170
                        6.99970e-01                                      94.2710
                        6.67135e-01                                      92.0151
                        6.50032e-01                                      90.4758
                        6.17190e-01                                      87.9111
                        6.00209e-01                                      86.4906
                        5.66936e-01                                      84.5175
                        5.49746e-01                                      83.3032
                        5.17015e-01                                      80.3370
                        4.99889e-01                                      78.7695
                        4.67435e-01                                      74.6382
                        4.50391e-01                                      72.3677
                        4.17420e-01                                      68.8694
                        4.00054e-01                                      67.1653
                        3.66881e-01                                      64.2213
                        3.49541e-01                                      62.7829
                        3.29379e-01                                      61.3232
                        2.93462e-01                                      58.4494
                        2.75515e-01                                      56.8958
                        2.41831e-01                                      53.9457
                        2.24385e-01                                      52.3363
                        2.04179e-01                                      50.6777
                        1.68214e-01                                      47.3813
                        1.50247e-01                                      45.6292
                        1.29775e-01                                      43.4134
                        9.35710e-02                                      39.4553
                        7.54157e-02                                      37.5981
                        4.22801e-02                                      33.5665
                        2.88247e-02                                      31.6458
