                         Quantachrome ASWin™ - Automated Gas Sorption Data
                                     Acquisition and Reduction
                                ©1994-2013, Quantachrome Instruments
                                            version 2.02

Analysis                                          Report
Operator:      Ayupov         Date:04/10/23       Operator: Ayupov              Date:2023/04/13
Sample ID:     AY23-119 CKO N25    Filename:      AY23-119 CKO N25 2900 QSDFT Slit Adsorption.raw
Sample Desc:   Jelezkij            Comment:        
Outgas Time:   24.0 hrs            Outgas Temp:   300.0 °C            Sample Weight: 0.0504 g
Analysis gas:  NITROGEN            Molec. Wt:     28.0134 g           Non-ideality:  6.595e-05 1/Torr
Analysis Time: 1829.8 min          Instrument:    Autosorb Station 1  Bath temp.:    77.35 K
                                     Data Reduction Parameters
               Thermal Transpiration: offEff. mol. diameter (D): 1.00 ÅEff. cell stem diam. (d): 1.0000 mm
 
DFT method     Calc. Model: N2 at 77 K on carbon (slit pore, QSDFT equilibrium model)
               Rel. press. range: 0.0000 - 1.0000                     Moving pt. avg: 5
Adsorbate      Nitrogen                 Temperature    77.350K
               Molec. Wt.: 28.013       Cross Section: 16.200  Å²     Liquid Density: 0.808  g/cc

     Pore width          Cumulative          Cumulative           dV(log d)           dS(log d)
                         Pore Volume        Surface Area                                   
         nm                 cc/g                m²/g                cc/g                m²/g

         0.6140              7.9652e-02          2.9574e+02          8.1285e-01          2.4410e+03
         0.6660              1.0812e-01          3.8114e+02          8.8144e-01          2.4975e+03
         0.7230              1.4001e-01          4.6955e+02          9.5436e-01          2.4971e+03
         0.7850              1.7490e-01          5.5914e+02          1.0080e+00          2.4571e+03
         0.8520              2.1169e-01          6.4660e+02          1.0472e+00          2.3635e+03
         0.9260              2.5022e-01          7.3137e+02          1.0665e+00          2.2233e+03
         1.0070              2.8957e-01          8.1118e+02          1.0835e+00          2.0750e+03
         1.0960              3.2996e-01          8.8628e+02          1.1249e+00          1.9665e+03
         1.1930              3.7234e-01          9.5808e+02          1.2093e+00          1.9241e+03
         1.2990              4.1844e-01          1.0292e+03          1.3241e+00          1.9256e+03
         1.4160              4.6964e-01          1.1017e+03          1.4440e+00          1.9327e+03
         1.5430              5.2530e-01          1.1743e+03          1.5410e+00          1.9082e+03
         1.6820              5.8461e-01          1.2460e+03          1.5785e+00          1.8126e+03
         1.8340              6.4467e-01          1.3133e+03          1.5380e+00          1.6358e+03
         2.0000              7.0220e-01          1.3729e+03          1.4365e+00          1.4116e+03
         2.1830              7.5592e-01          1.4242e+03          1.2863e+00          1.1680e+03
         2.3820              8.0292e-01          1.4656e+03          1.0957e+00          9.1997e+02
         2.6000              8.4242e-01          1.4978e+03          8.9770e-01          6.9681e+02
         2.8380              8.7452e-01          1.5219e+03          7.1224e-01          5.1027e+02
         3.0990              8.9974e-01          1.5393e+03          5.4557e-01          3.5883e+02
         3.3850              9.1867e-01          1.5513e+03          4.1233e-01          2.4704e+02
         3.6980              9.3304e-01          1.5596e+03          3.2036e-01          1.7462e+02
         4.0390              9.4441e-01          1.5655e+03          2.5774e-01          1.2792e+02
         4.4130              9.5365e-01          1.5700e+03          2.1522e-01          9.7105e+01
         4.8230              9.6159e-01          1.5734e+03          1.8651e-01          7.6505e+01
         5.2700              9.6846e-01          1.5761e+03          1.6306e-01          6.1006e+01
         5.7600              9.7449e-01          1.5783e+03          1.4615e-01          4.9937e+01
         6.2960              9.8004e-01          1.5801e+03          1.3830e-01          4.2906e+01
         6.8830              9.8540e-01          1.5817e+03          1.3424e-01          3.7765e+01
         7.5240              9.9054e-01          1.5831e+03          1.2981e-01          3.3189e+01
         8.2270              9.9549e-01          1.5844e+03          1.2883e-01          3.0168e+01
         8.9950              1.0006e+00          1.5855e+03          1.3216e-01          2.8417e+01
         9.8350              1.0059e+00          1.5866e+03          1.3175e-01          2.5913e+01
        10.7550              1.0109e+00          1.5876e+03          1.2655e-01          2.2785e+01
        11.7610              1.0158e+00          1.5884e+03          1.2515e-01          2.0577e+01
        12.8610              1.0207e+00          1.5892e+03          1.2176e-01          1.8474e+01
        14.0660              1.0254e+00          1.5899e+03          1.1074e-01          1.5516e+01
        15.3830              1.0296e+00          1.5905e+03          1.0508e-01          1.3325e+01
        16.8250              1.0337e+00          1.5910e+03          1.0287e-01          1.1898e+01
        18.4020              1.0377e+00          1.5914e+03          9.4393e-02          9.9739e+00
        20.1280              1.0412e+00          1.5918e+03          8.9463e-02          8.6018e+00
        22.0160              1.0448e+00          1.5921e+03          8.5269e-02          7.6691e+00
        24.0820              1.0480e+00          1.5924e+03          7.1393e-02          5.9794e+00
        26.3430              1.0506e+00          1.5926e+03          5.9642e-02          4.5319e+00
        28.8160              1.0529e+00          1.5928e+03          5.4173e-02          3.7506e+00
        31.5220              1.0545e+00          1.5929e+03          4.4190e-02          2.6939e+00
        34.4820              1.0565e+00          1.5930e+03          5.2768e-02          3.0597e+00

                                             DFT method summary
                                     Pore volume =         1.048 cc/g
                                    Surface area =      1572.750 m²/g
                          Lower confidence limit =         0.614 nm
                                   Fitting error =         0.376 %
                         Pore width (Mode(dLog)) =         1.682 nm
 
                            Moving point average :         5
 
 
