,0,1,2
41,..\data\reports\Al(OH)3_2685-ASMS_St2_2022_11_11_01_report_01.txt,5.331466101076168,0.025295544965630003
42,..\data\reports\Al2O3 support Malzew_2648-ASMS_St1_2022_10_23_01_report_01.txt,8.792196878026928,0.038839058635118925
43,..\data\reports\Al2O3+Zeolite_2590-ASMS_St1_2022_09_28_01_report_01.txt,3.3852431656442765,0.03320480766285996
44,..\data\reports\Al2O3-550_2579-ASMS_St2_2022_09_25_01_report_01.txt,6.2572623341470415,0.03584152609815357
45,..\data\reports\Al2O3-850_2580-ASMS_St3_2022_09_25_01_report_01.txt,8.685319620973374,0.03373215134991868
46,..\data\reports\Al2O3_2583-ASMS_St2_2022_09_26_01_report_01.txt,1.0639279273111888,0.007749047883992102
47,..\data\reports\Al2O3_2584-ASMS_St3_2022_09_26_01_report_01.txt,0.9257050555161884,0.011334085728653296
48,..\data\reports\Al2O3_2585-ASMS_St4_2022_09_26_01_report_01.txt,0.9204167919014409,0.011755375958754338
49,..\data\reports\Al2O3_2587-ASMS_St2_2022_09_27_01_report_01.txt,5.704203551772681,0.03584152609815357
50,..\data\reports\Al2O3_2630-ASMS_St1_2022_10_14_01_report_01.txt,9.526763219741722,0.025295544965630003
51,..\data\reports\Al2O3_2631-ASMS_St2_2022_10_14_01_report_01.txt,10.368857823055258,0.030790246123255663
52,..\data\reports\Al2O3_2667-ASMS_St3_2022_10_28_01_report_01.txt,1.2367778269296184,0.024504641011123277
53,..\data\reports\APK-Pd_2619-ASMS_St2_2022_10_11_01_report_01.txt,0.938303953876321,0.0209043430247194
54,..\data\reports\APK-Pt_2618-ASMS_St1_2022_10_11_01_report_01.txt,0.881938273595726,0.0209043430247194
55,..\data\reports\AY22-01_2715-ASMS_St1_2022_11_22_01_report_01.txt,6.505242169485902,0.025690996942883362
56,..\data\reports\AY22-13 MTT_2725-ASMS_St4_2022_11_27_01_report_01.txt,1.4840216423754513,0.0072028059604686
57,..\data\reports\AY22-14 Norit_2726-ASMS_St1_2022_11_29_01_report_01.txt,2.0384071359588103,0.01400235128844664
58,..\data\reports\AY22-14 Norit_2726-ASMS_St1_2022_11_29_01_report_02.txt,2.0384071359588103,0.01400235128844664
59,..\data\reports\AY22-15 AG-3_2727-ASMS_St2_2022_11_29_01_report_01.txt,1.8976015770614092,0.02648190089739009
60,..\data\reports\AY22-15 AG-3_2727-ASMS_St2_2022_11_29_01_report_02.txt,1.8976015770614092,0.02648190089739009
61,..\data\reports\AY22-16 C1260_2728-ASMS_St3_2022_11_29_01_report_01.txt,1.823640654179481,0.024504641011123277
62,..\data\reports\AY22-16 C1260_2728-ASMS_St3_2022_11_29_01_report_02.txt,1.823640654179481,0.024504641011123277
63,..\data\reports\AY22-17 BAU-A_2729-ASMS_St4_2022_11_29_01_report_01.txt,1.4248806019174831,0.012106451150505204
64,..\data\reports\AY22-17 BAU-A_2729-ASMS_St4_2022_11_29_01_report_02.txt,1.4248806019174831,0.012106451150505204
65,..\data\reports\AY22-18 PC-400_2730-ASMS_St1_2022_12_01_01_report_01.txt,0.9856230386243475,0.023401582164183535
66,..\data\reports\AY22-19 CZ-... 300°C_2731-ASMS_St2_2022_12_01_01_report_01.txt,1.2390926456462417,0.01985862413506879
67,..\data\reports\AY22-20 CZ-... 450°C_2732-ASMS_St3_2022_12_01_01_report_01.txt,0.6216576705635471,0.010667042864326648
68,..\data\reports\AY22-21 CZ-... 550°C_2733-ASMS_St4_2022_12_01_01_report_01.txt,0.7433135331309881,0.018375888396011963
69,..\data\reports\AY22-22 EH-12_2734-ASMS_St1_2022_12_06_01_report_01.txt,1.140136622878443,0.006467401230542971
70,..\data\reports\AY22-23 IV-130_2735-ASMS_St2_2022_12_06_01_report_01.txt,0.7046015184227811,0.02829265468797127
71,..\data\reports\AY22-24 IV-131_2736-ASMS_St3_2022_12_06_01_report_01.txt,0.4841167440148342,0.022465117486884484
72,..\data\reports\AY22-25 IV-132_2737-ASMS_St4_2022_12_06_01_report_01.txt,0.7248702849242046,0.007005381871897962
73,..\data\reports\AY22-26 IV-134_2738-ASMS_St1_2022_12_07_01_report_01.txt,0.9440023291215044,0.008946922986662971
74,..\data\reports\AY22-27 IV-135_2739-ASMS_St2_2022_12_07_01_report_01.txt,0.6471842883879789,0.010333521432163324
75,..\data\reports\AY22-28 IV-136_2740-ASMS_St3_2022_12_07_01_report_01.txt,0.810565887054747,0.009736730746665742
76,..\data\reports\AY22-29 INK-1_2741-ASMS_St4_2022_12_07_01_report_01.txt,2.3027093027386583,0.03215012028874251
77,..\data\reports\AY22-30 SVS 14_2743-ASMS_St1_2022_12_09_01_report_01.txt,0.6294568509726345,0.012106451150505204
78,..\data\reports\AY22-31 SVS 10_2744-ASMS_St2_2022_12_10_01_report_01.txt,0.6484646665934879,0.01926552983944606
79,..\data\reports\AY22-32 SVS 12_2745-ASMS_St3_2022_12_09_01_report_01.txt,0.6633731276636413,0.014224730277384438
80,..\data\reports\AY22-33 SVS 11_2746-ASMS_St4_2022_12_09_01_report_01.txt,0.8356959207507592,0.01333521432163324
81,..\data\reports\AY22-34 VG-20_2750-ASMS_St4_2022_12_16_01_report_01.txt,6.435944922522334,0.03478683872403612
82,..\data\reports\AY22-34_2750-ASMS_St4_2022_12_16_01_report_01.txt,6.435944922522334,0.03478683872403612
83,..\data\reports\AY22-35 VG-21_2751-ASMS_St1_2022_12_18_01_report_01.txt,9.791972939075068,0.02308942727175052
84,..\data\reports\AY22-36 VG-22_2752-ASMS_St2_2022_12_18_01_report_01.txt,3.603973144152835,0.02308942727175052
85,..\data\reports\AY22-37 VG-24_2753-ASMS_St3_2022_12_18_01_report_01.txt,7.424426942676586,0.04105945310694513
86,..\data\reports\AY22-38 VG-31A_2754-ASMS_St4_2022_12_18_01_report_01.txt,0.688034924750663,0.03215012028874251
87,..\data\reports\AY22-39 VG-31B_2755-ASMS_St1_2022_12_20_01_report_01.txt,0.5702621594079857,0.019562076987257426
88,..\data\reports\AY22-40 VG-40_2756-ASMS_St2_2022_12_22_01_report_01.txt,12.002272326261421,0.03162277660168379
89,..\data\reports\AY22-41 VG-41_2757-ASMS_St3_2022_12_20_01_report_01.txt,9.741120060550724,0.02727280485189681
90,..\data\reports\AY22-42 VG-42_2758-ASMS_St4_2022_12_22_01_report_01.txt,1.7083282146000343,0.02829265468797127
91,..\data\reports\AY22-43 VG-43_2759-ASMS_St1_2022_12_24_01_report_01.txt,7.559171730178823,0.018672435543823328
92,..\data\reports\AY22-44_2747-ASMS_St1_2022_12_16_01_report_01.txt,9.64305027233805,0.03162277660168379
93,..\data\reports\AY22-45_2748-ASMS_St2_2022_12_16_01_report_01.txt,6.542240910413476,0.02490009298837664
94,..\data\reports\AY22-46_2742-ASMS_St1_2022_12_08_01_report_01.txt,7.840814397037059,0.019562076987257426
95,..\data\reports\AY22-49 iPB-500_2760-ASMS_St2_2022_12_24_01_report_01.txt,1.7370027244931856,0.03215012028874251
96,..\data\reports\AY22-50 iPB-600_2761-ASMS_St3_2022_12_24_01_report_01.txt,2.1424997877045455,0.03162277660168379
97,..\data\reports\AY22-51 RAM-500_2762-ASMS_St4_2022_12_24_01_report_01.txt,0.8845900852717522,0.019562076987257426
98,..\data\reports\AY22-52_2749-ASMS_St3_2022_12_16_01_report_01.txt,0.6452349907844365,0.017080544661638282
99,..\data\reports\AY22-53 L_2775-ASMS_St1_2023_01_18_01_report_01.txt,5.3225836466469385,0.035314182411094845
100,..\data\reports\AY22-54 b_2776-ASMS_St2_2023_01_18_01_report_01.txt,2.6045074836156283,0.03215012028874251
101,..\data\reports\AY22-55 PB_2777-ASMS_St3_2023_01_18_01_report_01.txt,3.193799647515823,0.031206511362469727
102,..\data\reports\AY22-56 makro-700_2778-ASMS_St4_2023_01_18_01_report_01.txt,4.652645822206456,0.0342594950369774
103,..\data\reports\AY22-57 makro-800_2779-ASMS_St1_2023_01_20_01_report_01.txt,6.5932307696718375,0.03478683872403612
104,..\data\reports\AY22-58_2764-ASMS_St1_2022_12_26_01_report_01.txt,3.976521158120498,0.03828396001716238
105,..\data\reports\AY22-59 700°C_2765-ASMS_St2_2022_12_26_01_report_01.txt,4.604616206117692,0.03717376278124928
106,..\data\reports\AY22-60 800°C_2766-ASMS_St3_2022_12_26_01_report_01.txt,5.220268280481281,0.03772886139920583
107,..\data\reports\AY22-60 800°C_2766-ASMS_St3_2022_12_26_01_report_02.txt,5.220268280481281,0.03772886139920583
108,..\data\reports\AY22-61 900°C_2767-ASMS_St4_2022_12_26_01_report_01.txt,5.277458025273731,0.03772886139920583
109,..\data\reports\AY22-62 N15_2780-ASMS_St2_2023_01_23_01_report_01.txt,0.9069285908316956,0.020451718430691525
110,..\data\reports\AY22-63 N16_2781-ASMS_St3_2023_01_21_01_report_01.txt,0.8987473880623101,0.020451718430691525
111,..\data\reports\AY22-64 TMK 11(2)_2763-ASMS_St3_2022_12_22_01_report_01.txt,5.118494769057157,0.01684646151538797
112,..\data\reports\AY22-66 DVB_VTV_2782-ASMS_St4_2023_01_20_01_report_01.txt,0.7042225691795294,0.01926552983944606
113,..\data\reports\AY22-67 _2783-ASMS_St1_2023_01_24_01_report_01.txt,1.011968695440899,0.022465117486884484
114,..\data\reports\AY22-68_2784-ASMS_St2_2023_01_26_01_report_01.txt,0.552178167167705,0.025295544965630003
115,..\data\reports\AY22-69_2785-ASMS_St3_2023_01_24_01_report_01.txt,0.5050256922516089,0.023401582164183535
116,..\data\reports\AY22-70_2786-ASMS_St4_2023_01_24_01_report_01.txt,0.72334896807341,0.026086448920136725
117,..\data\reports\AY22-71_2787-ASMS_St1_2023_01_26_01_report_01.txt,0.46153596078789877,0.021216497917152417
118,..\data\reports\AY22-72_2788-ASMS_St2_2023_01_29_01_report_01.txt,0.6521495377915019,0.02184080770201845
119,..\data\reports\AY22-73_2789-ASMS_St3_2023_01_26_01_report_01.txt,0.6301372763733702,0.02215296259445147
120,..\data\reports\AY22-74_2790-ASMS_St4_2023_01_26_01_report_01.txt,0.5466691752468847,0.024109189033869917
121,..\data\reports\AY22-75_2791-ASMS_St1_2023_01_29_01_report_01.txt,0.45683306091157194,0.01684646151538797
122,..\data\reports\AY22-76_2792-ASMS_St3_2023_01_28_01_report_01.txt,0.4613977648042423,0.02215296259445147
123,..\data\reports\AY22-77_2793-ASMS_St4_2023_01_28_01_report_01.txt,1.1883256876635668,0.026086448920136725
124,..\data\reports\AY22-78_2794-ASMS_St1_2023_01_30_01_report_01.txt,1.4512311041364685,0.0173146278078886
125,..\data\reports\AY22-79_2795-ASMS_St2_2023_01_30_01_report_01.txt,1.4627369710072236,0.01985862413506879
126,..\data\reports\AY22-80_2796-ASMS_St3_2023_01_30_01_report_01.txt,0.5716220944497831,0.025295544965630003
127,..\data\reports\AY22-81_2797-ASMS_St4_2023_01_30_01_report_01.txt,0.47366828479705103,0.021216497917152417
