5.04786e-03,337.7671
7.50607e-03,355.1316
8.59685e-03,360.9935
1.01508e-02,368.1858
1.38405e-02,382.2312
1.80999e-02,395.4073
2.28407e-02,407.8264
2.81638e-02,419.9106
3.43730e-02,432.4160
4.16883e-02,445.7715
5.05391e-02,460.4174
6.81460e-02,486.5298
7.73456e-02,499.1283
8.46543e-02,508.7425
9.79955e-02,525.5367
1.25190e-01,557.3222
1.53380e-01,587.4808
1.71304e-01,605.3861
2.01147e-01,633.4968
2.21274e-01,651.2033
2.55232e-01,679.1713
2.74461e-01,693.6318
2.97496e-01,709.7990
3.22202e-01,726.1970
3.48243e-01,741.6738
3.74269e-01,755.9833
4.00239e-01,769.3373
4.26451e-01,781.4511
4.52448e-01,792.5846
4.77925e-01,803.3218
5.03664e-01,813.1918
5.29004e-01,822.7139
5.54069e-01,832.1417
5.79181e-01,841.5197
6.04328e-01,850.7461
6.29309e-01,859.7335
6.53878e-01,869.1237
6.79018e-01,878.3947
7.03969e-01,887.6435
7.28795e-01,897.0447
7.53756e-01,906.3586
7.79125e-01,915.3395
8.03829e-01,924.5642
8.29163e-01,933.5119
8.54448e-01,942.1897
8.79117e-01,951.1159
9.03071e-01,960.9634
9.17704e-01,966.8654
9.28760e-01,971.9083
9.36213e-01,974.9060
9.41282e-01,977.8974
9.49925e-01,981.9208
9.59473e-01,986.3209
9.69125e-01,991.0779
9.78463e-01,996.3860
9.85775e-01,999.8586
9.91091e-01,1002.9758
9.97930e-01,1009.4873
9.99400e-01,1020.2528
9.94168e-01,1010.0796
9.81737e-01,1006.1517
9.71385e-01,1003.6662
9.61489e-01,1001.6912
9.51508e-01,999.7449
9.42094e-01,997.2121
9.32827e-01,994.3785
9.23443e-01,991.3777
9.15287e-01,988.7104
9.07833e-01,986.5498
8.99745e-01,983.9922
8.91372e-01,981.0925
8.78685e-01,976.6697
8.50874e-01,967.8920
8.24322e-01,959.5774
7.98423e-01,951.4554
7.72276e-01,944.0750
7.46652e-01,936.8659
7.21254e-01,929.6924
6.96047e-01,922.5087
6.70598e-01,915.7497
6.45718e-01,908.6589
6.20836e-01,901.4448
5.95706e-01,894.2579
5.71039e-01,886.7468
5.46956e-01,878.6011
5.22080e-01,870.5848
4.99155e-01,860.4701
4.77545e-01,848.2659
4.52580e-01,812.4369
4.25770e-01,790.3418
4.04698e-01,776.2721
3.71720e-01,757.8965
3.50283e-01,745.8874
3.27956e-01,732.4647
2.97099e-01,712.3196
2.76728e-01,697.9928
2.48290e-01,676.2929
2.28883e-01,660.1499
2.00609e-01,635.4371
1.74653e-01,610.8951
1.49641e-01,585.3617
1.25398e-01,558.9101
1.01629e-01,530.8380
7.77174e-02,500.2806
4.94483e-02,458.9836
2.66975e-02,416.2895
